,batch_time,comp_time,comm_batch_start
0,8.008913516998291,5.93205714225769,1684108478.7100987
1,7.983502149581909,5.834574222564697,1684108486.7471194
2,7.927051305770874,5.956071138381958,1684108494.8795571
3,8.05559754371643,5.189425230026245,1684108502.1035273
4,7.756718158721924,5.790121078491211,1684108510.884796
5,7.910945177078247,5.7814319133758545,1684108518.6578627
6,7.772380113601685,5.855211496353149,1684108526.7167966
7,7.797674179077148,5.7801833152771,1684108534.5387912
8,7.8872599601745605,5.810455083847046,1684108542.391382
9,7.7367565631866455,5.761780023574829,1684108550.3387656
10,7.899986267089844,5.8308470249176025,1684108558.224634
11,7.856740951538086,5.808978796005249,1684108566.1510959
12,7.6117353439331055,5.660717010498047,1684108574.005911
13,7.565737247467041,5.642519474029541,1684108581.8866107
14,7.759687900543213,5.229203701019287,1684108589.1007376
15,7.807403087615967,5.868948698043823,1684108597.5375342
16,7.821972846984863,5.841968297958374,1684108605.3865945
17,7.786601305007935,5.6851582527160645,1684108613.091053
18,7.703976154327393,5.758967876434326,1684108621.0459075
19,7.822454929351807,5.725722789764404,1684108628.7648656
20,7.691551446914673,5.765327453613281,1684108636.7675042
21,7.8401501178741455,5.804558277130127,1684108644.5375586
22,7.796312093734741,5.657699346542358,1684108652.2886677
23,7.830953121185303,5.719843626022339,1684108660.183723
24,7.7393574714660645,5.745187044143677,1684108668.1862183
25,7.834661960601807,5.635519027709961,1684108675.8699183
26,7.747032403945923,5.636508226394653,1684108683.8107407
27,7.775373697280884,5.727159261703491,1684108691.756054
28,7.77208399772644,5.6581010818481445,1684108699.517359
29,7.852653741836548,5.6786346435546875,1684108707.3516712
