,aggregation_time,32,33,34
0,0.0007033348083496094,1684108724.7762785,1684108724.7766159,1684108724.7768884
1,0.0006532669067382812,1684108732.5570538,1684108732.557284,1684108732.5574262
2,0.0006747245788574219,1684108740.428732,1684108740.4291136,1684108740.4294255
3,0.0007042884826660156,1684108748.3044276,1684108748.3047214,1684108748.3050528
4,0.0007185935974121094,1684108756.1217406,1684108756.1220262,1684108756.1223786
5,0.000990152359008789,1684108763.9668736,1684108763.9670885,1684108763.9674625
6,0.0010933876037597656,1684108771.7680228,1684108771.7683394,1684108771.768606
7,0.0007200241088867188,1684108779.6453352,1684108779.6455834,1684108779.6458397
8,0.0007219314575195312,1684108787.4194908,1684108787.4197724,1684108787.4200165
9,0.0007371902465820312,1684108795.273507,1684108795.273825,1684108795.274149
10,0.0006303787231445312,1684108803.2414804,1684108803.241754,1684108803.2419186
11,0.0007257461547851562,1684108811.1151698,1684108811.1154625,1684108811.1156616
12,0.001020193099975586,1684108818.9480472,1684108818.9483078,1684108818.9485369
13,0.0008411407470703125,1684108826.7946508,1684108826.7949138,1684108826.79523
14,0.0007674694061279297,1684108834.6235294,1684108834.6236863,1684108834.6239157
15,0.0007419586181640625,1684108842.49264,1684108842.4929667,1684108842.4932642
16,0.0007035732269287109,1684108850.3231263,1684108850.323339,1684108850.3236098
17,0.0006284713745117188,1684108858.3388455,1684108858.3390841,1684108858.339348
18,0.0007586479187011719,1684108866.218034,1684108866.2183056,1684108866.218595
19,0.000629425048828125,1684108874.0929742,1684108874.093354,1684108874.0936096
20,0.0006566047668457031,1684108881.9803398,1684108881.9806638,1684108881.9809816
21,0.0007297992706298828,1684108889.8753629,1684108889.8757005,1684108889.8759646
22,0.0007505416870117188,1684108897.7727299,1684108897.7729855,1684108897.773458
23,0.0008153915405273438,1684108905.6482618,1684108905.648502,1684108905.648759
24,0.0006985664367675781,1684108913.4795809,1684108913.4798613,1684108913.4802
25,0.0007488727569580078,1684108921.3985431,1684108921.3987875,1684108921.3990781
26,0.0006620883941650391,1684108929.15666,1684108929.156917,1684108929.157114
27,0.0007305145263671875,1684108937.0011544,1684108937.001441,1684108937.0019298
28,0.0007784366607666016,1684108944.8671052,1684108944.867297,1684108944.86751
29,0.0007672309875488281,1684108952.7252398,1684108952.72546,1684108952.7256165
