,aggregation_time,32,33,34
0,0.0008561611175537109,1684108480.6465478,1684108480.646761,1684108480.6468866
1,0.0010578632354736328,1684108488.8322542,1684108488.8324704,1684108488.8326392
2,0.0008459091186523438,1684108496.8022974,1684108496.802576,1684108496.8028674
3,0.0007107257843017578,1684108504.8748248,1684108504.8750427,1684108504.8753262
4,0.0007462501525878906,1684108512.7754729,1684108512.775724,1684108512.775871
5,0.0007185935974121094,1684108520.711669,1684108520.7119179,1684108520.7121902
6,0.0006508827209472656,1684108528.5988657,1684108528.5991557,1684108528.5994756
7,0.0006527900695800781,1684108536.4574423,1684108536.4577584,1684108536.45803
8,0.0007460117340087891,1684108544.401066,1684108544.4014447,1684108544.4016905
9,0.000667572021484375,1684108552.243815,1684108552.2440736,1684108552.244476
10,0.0006656646728515625,1684108560.221412,1684108560.2216039,1684108560.221824
11,0.0007250308990478516,1684108568.1239886,1684108568.1243145,1684108568.124663
12,0.0006971359252929688,1684108575.8969305,1684108575.8971498,1684108575.8973982
13,0.0006296634674072266,1684108583.7473984,1684108583.7477112,1684108583.748
14,0.0006020069122314453,1684108591.568662,1684108591.5688975,1684108591.5692194
15,0.0007193088531494141,1684108599.420871,1684108599.4212627,1684108599.4214878
16,0.0006871223449707031,1684108607.2983057,1684108607.2984939,1684108607.2987025
17,0.0006723403930664062,1684108615.109297,1684108615.1095114,1684108615.109813
18,0.0006704330444335938,1684108622.9240873,1684108622.9243708,1684108622.924603
19,0.0007381439208984375,1684108630.8006103,1684108630.8008592,1684108630.8011508
20,0.0007112026214599609,1684108638.6234872,1684108638.6238127,1684108638.624091
21,0.0008258819580078125,1684108646.4928236,1684108646.493148,1684108646.4934626
22,0.0006582736968994141,1684108654.3785741,1684108654.3788273,1684108654.3791208
23,0.0005245208740234375,1684108662.21563,1684108662.2158856,1684108662.2161424
24,0.0007107257843017578,1684108670.124644,1684108670.1248245,1684108670.1250498
25,0.00067901611328125,1684108678.0052435,1684108678.005439,1684108678.0056353
26,0.0006685256958007812,1684108685.861839,1684108685.8621218,1684108685.8624544
27,0.0006506443023681641,1684108693.7185118,1684108693.718711,1684108693.7189991
28,0.0007169246673583984,1684108701.5387013,1684108701.5389476,1684108701.5392783
29,0.000667572021484375,1684108709.4711382,1684108709.4713533,1684108709.4716918
