,aggregation_time
0,0.0010132789611816406
1,0.0009624958038330078
2,0.0008883476257324219
3,0.0009577274322509766
4,0.0008087158203125
5,0.0008881092071533203
6,0.0007102489471435547
7,0.0008852481842041016
8,0.0018696784973144531
9,0.0008969306945800781
10,0.0008563995361328125
11,0.0008175373077392578
12,0.0008869171142578125
13,0.0009741783142089844
14,0.0009129047393798828
15,0.0007102489471435547
16,0.0009248256683349609
17,0.0008518695831298828
18,0.0009098052978515625
19,0.0009725093841552734
20,0.0009005069732666016
21,0.0008652210235595703
22,0.0007462501525878906
23,0.0007479190826416016
24,0.0008411407470703125
25,0.0008745193481445312
26,0.0009124279022216797
27,0.0009226799011230469
28,0.0008521080017089844
29,0.0012199878692626953
