,aggregation_time
0,0.0012199878692626953
1,0.0011873245239257812
2,0.00106048583984375
3,0.0009996891021728516
4,0.0014476776123046875
5,0.0012047290802001953
6,0.0008990764617919922
7,0.0011532306671142578
8,0.0009760856628417969
9,0.0010540485382080078
10,0.001093149185180664
11,0.001117706298828125
12,0.0010445117950439453
13,0.0009071826934814453
14,0.0010037422180175781
15,0.0010254383087158203
16,0.0010466575622558594
17,0.0009181499481201172
18,0.0010254383087158203
19,0.0010008811950683594
20,0.0010597705841064453
21,0.0010614395141601562
22,0.0009806156158447266
23,0.0011000633239746094
24,0.0010509490966796875
25,0.001033782958984375
26,0.0010418891906738281
27,0.0009677410125732422
28,0.0009694099426269531
29,0.0011143684387207031
