,aggregation_time
0,0.0010251998901367188
1,0.0014388561248779297
2,0.0012264251708984375
3,0.0009875297546386719
4,0.0010013580322265625
5,0.0011887550354003906
6,0.0011043548583984375
7,0.0010437965393066406
8,0.0011491775512695312
9,0.0010676383972167969
10,0.0015234947204589844
11,0.001287221908569336
12,0.0010259151458740234
13,0.0009853839874267578
14,0.0009484291076660156
15,0.0009868144989013672
16,0.0009374618530273438
17,0.0010585784912109375
18,0.0011017322540283203
19,0.001056671142578125
20,0.0011076927185058594
21,0.000995635986328125
22,0.0010814666748046875
23,0.0010066032409667969
24,0.0010573863983154297
25,0.0009703636169433594
26,0.0010790824890136719
27,0.0009927749633789062
28,0.0010483264923095703
29,0.0009515285491943359
