,aggregation_time
0,0.001222848892211914
1,0.001275777816772461
2,0.0013244152069091797
3,0.0011963844299316406
4,0.0012326240539550781
5,0.001314401626586914
6,0.0013239383697509766
7,0.0012173652648925781
8,0.001237630844116211
9,0.001271963119506836
10,0.0013349056243896484
11,0.0012481212615966797
12,0.0012416839599609375
13,0.001436471939086914
14,0.0012729167938232422
15,0.0011227130889892578
16,0.0012593269348144531
17,0.0011467933654785156
18,0.0013530254364013672
19,0.0010807514190673828
20,0.0012972354888916016
21,0.001032114028930664
22,0.0012514591217041016
23,0.0012292861938476562
24,0.0013473033905029297
25,0.001220703125
26,0.0011518001556396484
27,0.0010945796966552734
28,0.0010457038879394531
29,0.00145721435546875
