,batch_time,comp_time,comm_batch_start
0,14.935781002044678,5.876031875610352,1684108715.753303
1,7.735621213912964,5.686497211456299,1684108730.5712907
2,7.774775505065918,5.82520604133606,1684108738.5172117
3,7.80448317527771,5.835984468460083,1684108746.3868265
4,7.7912375926971436,5.888396501541138,1684108754.2814581
5,7.806986331939697,5.890148401260376,1684108762.0991993
6,7.73503851890564,5.819113254547119,1684108769.8868673
7,7.784857511520386,5.671755075454712,1684108777.5570087
8,7.682358503341675,5.673443555831909,1684108785.4469934
9,7.792921781539917,5.867929458618164,1684108793.4215326
10,7.828968286514282,5.880043983459473,1684108801.349942
11,7.85008978843689,5.731744050979614,1684108809.0851958
12,7.729740619659424,5.676503896713257,1684108816.9219801
13,7.843506574630737,5.466400861740112,1684108824.469458
14,7.747223854064941,5.852277040481567,1684108832.7814925
15,7.794795036315918,5.495408058166504,1684108840.25367
16,7.649557828903198,5.67766261100769,1684108848.3795376
17,8.006441593170166,5.808835029602051,1684108856.2057943
18,7.751113176345825,5.8292951583862305,1684108864.339838
19,7.789198637008667,5.83479118347168,1684108872.1774583
20,7.779008865356445,5.887871265411377,1684108880.1200614
21,7.784816026687622,5.757928848266602,1684108887.9469824
22,7.78700590133667,5.811981678009033,1684108895.8211503
23,7.872516393661499,5.54753851890564,1684108903.414668
24,7.57419490814209,5.677672624588013,1684108911.6252124
25,7.818351745605469,5.625120401382446,1684108919.2414615
26,7.74549412727356,5.757617473602295,1684108927.2463958
27,7.64577054977417,5.7786736488342285,1684108935.160628
28,7.8237128257751465,5.619408130645752,1684108942.7014973
29,7.68386435508728,5.765539646148682,1684108950.8382044
