,aggregation_time
0,0.0009515285491943359
1,0.0010366439819335938
2,0.0011789798736572266
3,0.0009894371032714844
4,0.0009202957153320312
5,0.000982046127319336
6,0.0009765625
7,0.0017437934875488281
8,0.0009746551513671875
9,0.0010519027709960938
10,0.0010972023010253906
11,0.0011069774627685547
12,0.0011260509490966797
13,0.0010538101196289062
14,0.0009806156158447266
15,0.0009357929229736328
16,0.001010894775390625
17,0.0007774829864501953
18,0.0009961128234863281
19,0.0009999275207519531
20,0.0010590553283691406
21,0.001081705093383789
22,0.001111745834350586
23,0.0010783672332763672
24,0.0010488033294677734
25,0.0010273456573486328
26,0.0010318756103515625
27,0.0010433197021484375
28,0.0009043216705322266
29,0.0011594295501708984
