,batch_time,comp_time,comm_batch_start
0,8.098840713500977,6.057811737060547,1684108478.7905838
1,7.919537544250488,6.04698920249939,1684108487.0034955
2,7.926069498062134,5.992794752120972,1684108494.9155855
3,7.974020719528198,5.768208265304565,1684108502.7196193
4,7.836135387420654,5.297950506210327,1684108510.2926254
5,7.943603754043579,5.824970722198486,1684108518.69831
6,7.812807321548462,5.806218385696411,1684108526.6638556
7,7.816862106323242,5.839614391326904,1684108534.5518456
8,7.83229660987854,5.873620271682739,1684108542.5039814
9,7.797551393508911,5.695314407348633,1684108550.20465
10,7.926692247390747,5.666341543197632,1684108558.0317614
11,7.903365135192871,5.85969877243042,1684108566.1807647
12,7.6526806354522705,5.694674730300903,1684108573.9993482
13,7.830056190490723,5.597065687179565,1684108581.616766
14,7.708859920501709,5.74729323387146,1684108589.6713011
15,7.722594738006592,5.777289152145386,1684108597.5286477
16,7.87688946723938,5.652679681777954,1684108605.1657424
17,7.724592924118042,5.648655652999878,1684108613.133358
18,7.723326683044434,5.700082778930664,1684108621.0094168
19,7.748493671417236,5.799753427505493,1684108628.8915112
20,7.817739725112915,5.822418212890625,1684108636.7021315
21,7.78352689743042,5.845368146896362,1684108644.6503348
22,7.7882771492004395,5.5638368129730225,1684108652.1878946
23,7.846050262451172,5.342631578445435,1684108659.7788773
24,7.838234901428223,5.687582969665527,1684108668.0497046
25,7.718802213668823,5.566595792770386,1684108675.9025183
26,7.742911100387573,5.7626872062683105,1684108683.9538815
27,7.750568389892578,5.830384254455566,1684108691.8521898
28,7.73606276512146,5.778204679489136,1684108699.6948287
29,7.849440097808838,5.578561544418335,1684108707.2637842
